0,1,2,3,4,5,6,7,8,9,10,11,12
274.11,308.36,1448.77,87.81,29.846,0,0.234,305.14,2.968,305.91,1.43334,0.966952,0
289.33,292.26,1533.9,91.58,27.896,1,0.234,284.13,2.78,311.78,1.35334,0.882037,0
291.84,327.29,1485.33,91.68,29.356,0,0.244,291.23,3.008,305.34,1.42334,0.990734,0
273.94,301.52,1644.62,89.88,28.412,0,0.229,299.74,2.944,310.77,1.35334,0.919217,0
283.84,305.18,1508.48,88.79,28.682,0,0.244,290.26,2.974,305.76,1.46334,0.897892,0
282.02,313.56,1607.4,94.54,27.876,1,0.224,310.13,2.74,316.06,1.44334,0.936952,0
293.98,302.5,1590.92,89.83,29.15,0,0.234,289.29,3.08,325.57,1.49334,0.984687,0
278.96,315.84,1495.61,88.33,29.482,0,0.244,285.78,3.056,324.12,1.44334,0.998085,0
278.48,292.8,1590.58,89.19,27.894,0,0.234,300.36,2.914,308.27,1.44334,0.916952,0
270.77,301.68,1480.55,89.17,29.812,0,0.224,293.13,2.864,322.92,1.37334,0.91582,0
305.15,325.105,1448.6,94.92,28.25,2,0.224,291.82,3.05,320.32,1.45334,0.86052,1
288.3,314.59,1483.65,90.37,27.91,1,0.224,303.56,2.774,330.02,1.36334,0.8743875,1
281.07,331.8,1402.4,86.43,28.817,1,0.244,287.04,3.006,303.7,1.44334,0.91505,1
296.46,338.05,1399.45,84.73,28.162,1,0.244,305.95,2.796,305.94,1.44334,0.89052,1
303.91,321.54,1556.59,89.51,29.444,0,0.224,305.32,3.0,314.09,1.41334,0.938255,1
290.72,302.74,1614.03,97.17,27.463,2,0.234,299.27,2.986,321.795,1.38334,0.983939,2
292.47,326.46,1537.14,105.51,27.448,2,0.224,292.91,2.824,320.12,1.41334,0.959602,2
284.4,328.48,1557.08,100.12,28.01,2,0.244,309.87,3.046,311.69,1.45334,1.004132,2
274.63,312.69,1675.11,99.58,27.86,2,0.234,300.37,2.9,318.54,1.35334,0.926012,2
270.45,302.12,1551.46,102.35,30.01,2,0.234,299.19,2.954,318.19,1.39334,0.926012,2
288.42,316.41,1516.44,102.69,29.462,2,0.234,278.81,2.822,309.88,1.36334,0.990542,2
271.66,323.6,1624.46,94.12,29.64,0,0.244,288.44,2.764,317.72,1.40334,0.95488,2
