0,1,2,3,4,5,6,7,8,9,10,11,12
295.22,306.33,1423.64,92.19,30.438,1,0.234,302.91,2.868,305.52,1.33334,0.949772,0
292.08,326.91,1509.38,85.2,27.626,0,0.224,307.12,3.208,298.89,1.40334,0.879388,0
293.27,316.27,1627.06,85.69,29.356,0,0.244,294.73,2.968,317.06,1.38334,0.944132,0
293.15,312.31,1559.02,85.75,29.036,0,0.244,301.52,3.038,310.18,1.45334,0.982037,0
291.93,322.23,1460.99,91.59,28.374,0,0.234,297.08,2.846,309.96,1.35334,0.941097,0
286.26,316.02,1574.22,93.16,27.662,1,0.224,297.15,2.924,292.86,1.38334,0.94223,0
280.49,295.29,1561.57,89.24,29.272,0,0.234,290.04,3.08,316.3,1.46334,0.957529,0
264.16,294.2,1499.5,88.15,29.916,0,0.234,298.42,2.952,312.74,1.37334,0.920157,0
291.48,299.02,1646.19,85.23,28.554,0,0.224,302.6,2.849,310.52,1.49334,0.929217,0
272.37,319.69,1607.47,91.16,27.662,1,0.224,296.04,2.822,327.33,1.39334,0.954687,0
282.96,330.46,1467.86,85.73,30.39,0,0.224,322.06,2.85,312.4,1.36334,0.96411,1
302.87,328.53,1390.87,92.31,29.14,1,0.224,306.86,2.769,320.07,1.49334,0.893725,1
292.15,330.165,1512.25,84.84,27.182,0,0.244,298.16,2.782,325.33,1.34334,0.87505,1
282.23,329.89,1540.53,85.67,28.374,0,0.234,317.99,2.892,310.725,1.46334,0.864858,1
278.12,313.64,1519.5,88.69,29.892,0,0.244,289.2,2.838,301.54,1.44334,0.887689,1
277.47,326.54,1594.29,97.36,27.682,2,0.244,299.74,3.076,324.02,1.35334,0.986204,2
294.67,325.2,1660.3,103.6,30.218,2,0.234,278.96,2.87,298.9,1.34334,1.013939,2
274.37,319.49,1525.18,95.68,27.234,2,0.224,308.9,2.874,313.22,1.37334,1.021674,2
278.49,317.3,1707.12,103.25,29.576,2,0.234,306.55,2.852,305.09,1.39334,0.99244,2
281.48,293.03,1616.39,95.14,30.546,2,0.244,282.24,2.838,319.47,1.39334,0.920542,2
275.82,327.38,1547.08,94.7,28.444,2,0.224,292.47,2.962,296.18,1.45334,1.007144,2
284.69,312.83,1634.06,94.56,29.948,2,0.224,299.36,2.894,298.05,1.34334,1.012807,2
